Date,food_oz,naptime_min,wakeup_time,bed_time,last_nap_wake,wakes,visits,asleep_time
2/26/20,,,,,,7,3,513
2/27/20,32.00,173,6:03:00 AM,8:06:00 PM,NA,4,0,585
2/28/20,25.50,205,6:36:00 AM,7:08:00 PM,NA,4,0,670
2/29/20,30.50,206,6:50:00 AM,8:16:00 PM,6:00:00 PM,3,0,568
3/1/20,33.25,154,5:59:00 AM,7:46:00 PM,5:55:00 PM,6,3,517
3/2/20,31.25,167,7:02:00 AM,7:25:00 PM,5:25:00 PM,8,4,608
3/3/20,28.00,195,6:55:00 AM,7:54:00 PM,6:03:00 PM,5,3,525
3/4/20,29.50,191,6:00:00 AM,7:57:00 PM,5:25:00 PM,5,1,589
3/5/20,29.50,194,6:25:00 AM,7:03:00 PM,4:28:00 PM,6,1,632
3/6/20,30.50,277,6:39:00 AM,7:02:00 PM,5:07:00 PM,4,1,574
3/7/20,26.00,200,5:56:00 AM,7:15:00 PM,5:00:00 PM,3,0,555
3/8/20,29.50,206,5:40:00 AM,8:15:00 PM,5:55:00 PM,NA,NA,NA
3/9/20,NA,NA,NA,NA,NA,6,1,595
3/10/20,34.50,183,6:35:00 AM,8:17:00 PM,5:50:00 PM,4,0,494
3/11/20,32.00,202,4:54:00 AM,8:22:00 PM,6:40:00 PM,7,2,516
3/12/20,25.00,195,6:51:00 AM,7:05:00 PM,5:05:00 PM,5,1,652
3/13/20,27.75,205,6:44:00 AM,7:18:00 PM,5:15:00 PM,5,0,605
3/14/20,33.00,196,6:46:00 AM,7:50:00 PM,5:45:00 PM,6,0,536
3/15/20,28.50,215,6:40:00 AM,7:00:00 PM,4:55:00 PM,9,5,567
3/16/20,28.00,181,7:03:00 AM,7:00:00 PM,5:08:00 PM,7,2,603
3/17/20,31.75,171,6:25:00 AM,8:26:00 PM,6:05:00 PM,9,0,478
3/18/20,31.00,211,5:58:00 AM,7:21:00 PM,5:25:00 PM,3,0,613
3/19/20,26.00,159,6:12:00 AM,6:45:00 PM,3:55:00 PM,7,4,559
3/20/20,33.25,190,6:31:00 AM,7:04:00 PM,5:30:00 PM,7,3,500
3/21/20,27.00,165,6:04:00 AM,7:25:00 PM,5:05:00 PM,11,2,571
3/22/20,30.50,192,7:55:00 AM,7:33:00 PM,5:35:00 PM,5,0,653
3/23/20,28.50,160,7:18:00 AM,7:07:00 PM,5:05:00 PM,10,4,563
3/24/20,34.50,198,6:51:00 AM,7:50:00 PM,5:47:00 PM,10,5,559
3/25/20,26.00,267,7:08:00 AM,7:16:00 PM,4:50:00 PM,7,0,518
3/26/20,35.50,193,6:02:00 AM,8:14:00 PM,6:00:00 PM,,,
